Designator,Mid X,Mid Y,Rotation,Layer
C1,75.581471,-138.26416,180.0,bottom
C2,196.758,-140.627311,180.0,bottom
C3,196.123,-132.499311,180.0,bottom
C4,228.6,-140.796688,180.0,bottom
C5,228.092,-132.668688,180.0,bottom
C6,139.277,-210.302689,270.0,bottom
C7,157.48,-211.064689,180.0,bottom
D1,140.674,-192.545685,90.0,bottom
D10,155.956,-181.946967,90.0,bottom
D11,155.956,-171.348254,90.0,bottom
D12,155.956,-160.749541,90.0,bottom
D13,155.956,-150.150828,90.0,bottom
D14,155.956,-139.552115,90.0,bottom
D15,155.956,-128.953402,90.0,bottom
D16,155.956,-118.354689,90.0,bottom
D2,140.674,-181.942849,90.0,bottom
D3,140.674,-171.340017,90.0,bottom
D4,140.674,-160.737185,90.0,bottom
D5,140.674,-150.134353,90.0,bottom
D6,140.674,-139.531521,90.0,bottom
D7,140.674,-128.928689,90.0,bottom
D8,140.674,-118.325857,90.0,bottom
D9,155.956,-192.545685,90.0,bottom
J2,96.647,-215.265,90.0,bottom
J3,83.439,-215.265,90.0,bottom
J4,110.871,-215.265,270.0,bottom
J5,147.94,-215.265,270.0,bottom
JP1,103.694001,-150.866689,270.0,bottom
JP2,103.694,-145.278689,270.0,bottom
JP3,103.694001,-139.690689,270.0,bottom
P1,83.634,-184.179687,90.0,bottom
P2,91.059,-110.109,0.0,top
P5,91.059,-92.583,0.0,top
P6,91.059,-75.057,0.0,top
P7,121.978,-148.369688,90.0,bottom
P8,174.74,-135.569688,90.0,bottom
P9,210.283,-135.465688,90.0,bottom
Q1,145.119,-199.380689,270.0,bottom
Q10,160.401,-188.640115,270.0,bottom
Q11,160.401,-178.026544,270.0,bottom
Q12,160.401,-167.412973,270.0,bottom
Q13,160.401,-156.799402,270.0,bottom
Q14,160.401,-146.185831,270.0,bottom
Q15,160.401,-135.57226,270.0,bottom
Q16,160.401,-124.958689,270.0,bottom
Q2,144.992,-188.585689,270.0,bottom
Q3,145.119,-178.044689,270.0,bottom
Q4,145.119,-167.503689,270.0,bottom
Q5,145.119,-156.835689,270.0,bottom
Q6,144.992,-146.294689,270.0,bottom
Q7,145.246,-135.499689,270.0,bottom
Q8,144.992,-124.958689,270.0,bottom
Q9,160.401,-199.253689,270.0,bottom
R1,72.787,-131.78716,270.0,bottom
R10,180.975,-199.757624,180.0,bottom
R11,180.975,-192.371572,0.0,bottom
R12,180.975,-184.98552,0.0,bottom
R13,180.975,-177.599468,0.0,bottom
R14,188.249,-135.538,0.0,bottom
R15,180.975,-170.213416,0.0,bottom
R16,180.975,-162.827364,0.0,bottom
R17,194.091,-145.698,0.0,bottom
R18,180.975,-155.441312,0.0,bottom
R19,180.975,-148.05526,0.0,bottom
R20,188.249,-134.014,0.0,bottom
R21,180.975,-140.669208,0.0,bottom
R22,180.975,-133.283156,0.0,bottom
R23,180.975,-125.897104,180.0,bottom
R24,180.975,-118.511052,0.0,bottom
R25,188.249,-132.49,0.0,bottom
R26,180.975,-111.125,0.0,bottom
R27,180.975,-103.738948,0.0,bottom
R28,180.975,-96.352896,0.0,bottom
R29,180.975,-88.966844,0.0,bottom
R30,188.249,-130.966,0.0,bottom
R31,180.975,-81.580792,0.0,bottom
R32,180.975,-74.19474,0.0,bottom
R33,188.249,-129.442,0.0,bottom
R34,180.975,-66.808688,0.0,bottom
